"","min","first_quartile.25%","median","mean","third_quartile.75%","max","range","sd","variance","coeff_var","n"
"longitude",1.56,9.84,10.18,10.35,11.75,14.65,13.09,2.29,5.23,0.22,308
"latitude",42.53,46.46,47.4,48.73,51.47,54.7,12.17,3.05,9.33,0.06,308
"elevation",1,157,1171.5,1119.83,1864,2587,2586,820.98,674005.39,0.73,308
"day",1,9,17,16.54,25,31,30,8.96,80.35,0.54,308
"month",6,7,8,7.83,8,10,4,0.77,0.59,0.1,308
"amt",-1.5,2.1,5.2,5.11,8.3,9.9,11.4,3.02,9.1,0.59,308
"mdr",5.1,7,7.8,7.78,8.5,10.6,5.5,1.13,1.27,0.14,308
"ist",25,29,31,30.76,33,36,11,2.13,4.53,0.07,308
"tse",5200,5769.75,6151.5,6094.26,6330.25,7220,2020,425.89,181378.6,0.07,308
"maxtwam",9.1,15.2,19.45,18.44,21.9,24.9,15.8,3.68,13.56,0.2,308
"mintcom",-12,-8.83,-7.1,-6.33,-2.8,-0.2,11.8,3.1,9.63,-0.49,308
"tar",19.8,23.1,24.7,24.77,26.33,31.3,11.5,2.31,5.32,0.09,308
"mintwq",-5.6,9.2,12.85,11.52,16.2,17.7,23.3,5.27,27.73,0.46,308
"mintdrq",-7.7,-4.6,-0.55,-0.15,3.6,13.1,20.8,4.68,21.89,-30.92,308
"mtwaq",-0.77,-0.46,-0.06,-0.02,0.36,1.31,2.08,0.47,0.22,-30.92,308
"mtcoq",-0.77,-0.46,-0.06,-0.02,0.36,1.31,2.08,0.47,0.22,-30.92,308
"ara",670,774.5,989,1031.32,1251,1722,1052,266.04,70776.95,0.26,308
"rawen",73,84,124,120.47,147,182,109,32.57,1060.61,0.27,308
"radrm",27,43,53,57.58,71,129,102,19.6,384.11,0.34,308
"pse",7,18,24,24.26,31,43,36,9.07,82.23,0.37,308
"raweq",215,238,344,342.68,418.25,527,312,93.81,8800,0.27,308
"radrq",82,139,168,187.42,228,403,321,64.97,4221.33,0.35,308
"rawaq",82,139,168,187.42,228,403,321,64.97,4221.33,0.35,308
"racoq",82,161.75,183.5,207.93,255.25,477,395,76.81,5899.91,0.37,308
"ai",36.49,42.91,66.57,73.62,92.99,164.71,128.22,31.47,990.12,0.43,308
