"","name","longitude","latitude","issues","prov","key","scientificName","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","individualCount","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","license","geodeticDatum","class","countryCode","country","identifier","recordedBy","catalogNumber","institutionCode","county","locality","fieldNumber","collectionCode","gbifID","occurrenceID","identifiedBy","coordinateUncertaintyInMeters","references","rightsHolder","http://unknown.org/nick","verbatimEventDate","datasetName","verbatimLocality","taxonID","http://unknown.org/occurrenceDetails","rights","eventTime","occurrenceRemarks","identificationID","informationWithheld","endDayOfYear","municipality","identificationVerificationStatus","language","type","vernacularName","taxonConceptID","startDayOfYear","datasetID","accessRights","higherClassification","sex","behavior","habitat","associatedReferences","locationID","fieldNotes","dynamicProperties","footprintWKT","lifeStage","elevationAccuracy","samplingProtocol","eventID","originalNameUsage","nameAccordingTo","dataGeneralizations","identificationRemarks","coordinatePrecision","projectId","nomenclaturalCode","georeferenceRemarks","eventRemarks","parentEventID","locationRemarks","institutionID","ownerInstitutionCode","organismQuantityType","http://rs.tdwg.org/dwc/terms/organismQuantity","preparations","http://rs.tdwg.org/dwc/terms/organismQuantityType","collectionID","verbatimSRS","verbatimCoordinateSystem","locationAccordingTo","infraspecificEpithet","identificationQualifier","http://unknown.org/georeferenceRemarks","georeferenceVerificationStatus","http://unknown.org/recordId","http://unknown.org/recordEnteredBy","verbatimElevation","georeferenceSources","networkKeys","georeferencedDate","higherGeography","georeferencedBy","georeferenceProtocol","organismID","previousIdentifications","http://unknown.org/license","organismRemarks","http://unknown.org/rightsHolder"
"100","Aeshna juncea",7.765498,45.772965,"cdround,gass84","gbif","2823119052","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:48:04.029+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-07-19T19:21:13",NA,NA,"Valle d'Aosta",2020,7,18,2020-07-18,"2020-08-08T20:11:30.000+0000","2020-09-27T12:48:04.029+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","IT","Italy","53639246","Alfonso","53639246","iNaturalist",NA,NA,NA,"Observations","2823119052","https://www.inaturalist.org/observations/53639246","Alfonso",61,"https://www.inaturalist.org/observations/53639246","Alfonso","alf_torino","2020/07/18 3:02 PM CEST","iNaturalist research-grade observations","Valle d'Aosta, Italia","93434","https://www.inaturalist.org/observations/53639246","© Alfonso some rights reserved","13:02:00Z",NA,"118204185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1f2c0cbe-40df-43f6-ba07-e76133e78c31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Aeshna juncea",12.633698,46.474866,"cdround,gass84","gbif","2823119953","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:55:33.829+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-07-19T13:05:10",NA,NA,"Friuli-Venezia Giulia",2020,7,10,2020-07-10,"2020-07-19T13:10:09.000+0000","2020-09-27T12:55:33.829+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","IT","Italy","53591318","Andrea Mosini","53591318","iNaturalist",NA,NA,NA,"Observations","2823119953","https://www.inaturalist.org/observations/53591318","Andrea Mosini",31,"https://www.inaturalist.org/observations/53591318","Andrea Mosini","andreamosini","2020/07/10 3:13 PM CEST","iNaturalist research-grade observations","Provincia di Belluno, Italia","93434","https://www.inaturalist.org/observations/53591318","© Andrea Mosini some rights reserved","13:13:00Z",NA,"118123418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1f2c0cbe-40df-43f6-ba07-e76133e78c31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Aeshna juncea",11.236923,46.64529,"cdround,gass84","gbif","2850544819","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:41:05.817+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-07-27T20:25:10",NA,NA,"Trentino-Alto Adige",2020,7,27,2020-07-27,"2020-08-10T19:45:55.000+0000","2020-09-27T12:41:05.817+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","IT","Italy","54562378","Andrea Miclet","54562378","iNaturalist",NA,NA,NA,"Observations","2850544819","https://www.inaturalist.org/observations/54562378","Andrea Miclet",4,"https://www.inaturalist.org/observations/54562378","Andrea Miclet","andreamiclet","2020/07/27 11:39 AM CEST","iNaturalist research-grade observations","Alto Adige, Italia","93434","https://www.inaturalist.org/observations/54562378","© Andrea Miclet some rights reserved","09:39:00Z",NA,"120015547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1f2c0cbe-40df-43f6-ba07-e76133e78c31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Aeshna juncea",12.078832,46.467649,"gass84","gbif","2850556012","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:41:15.341+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-08-03T12:52:47",NA,NA,"Veneto",2020,7,27,2020-07-27,"2020-08-13T16:57:06.000+0000","2020-09-27T12:41:15.341+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","IT","Italy","55270162","odole","55270162","iNaturalist",NA,NA,NA,"Observations","2850556012","https://www.inaturalist.org/observations/55270162","odole",10,"https://www.inaturalist.org/observations/55270162","odole","odole","2020/07/27 2:50 PM CEST","iNaturalist research-grade observations","lago delle Baste, Province of Belluno, Italy","93434","https://www.inaturalist.org/observations/55270162","© odole some rights reserved","12:50:00Z",NA,"121415700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1f2c0cbe-40df-43f6-ba07-e76133e78c31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Aeshna juncea",9.781134,45.80006,"cdround,gass84","gbif","2850666422","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:58:40.033+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-08-14T11:18:03",NA,NA,"Lombardia",2020,8,5,2020-08-05,"2020-08-14T11:18:03.000+0000","2020-09-27T12:58:40.033+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","IT","Italy","55513367","emiravasio","55513367","iNaturalist",NA,NA,NA,"Observations","2850666422","https://www.inaturalist.org/observations/55513367","Matteo",537,"https://www.inaturalist.org/observations/55513367","emiravasio","emiravasio","Wed Aug 05 2020 18:08:43 GMT+0200 (GMT+2)","iNaturalist research-grade observations","Aviatico, Lombardia, IT","93434","https://www.inaturalist.org/observations/55513367","© emiravasio some rights reserved","16:08:43Z",NA,"123717330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1f2c0cbe-40df-43f6-ba07-e76133e78c31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"580","Aeshna juncea",6.436245,45.802978,"cdround,gass84","gbif","2860017410","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:55:55.305+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-09-03T07:34:41",NA,NA,"Rhône-Alpes",2020,8,20,2020-08-20,"2020-09-03T10:10:02.000+0000","2020-09-27T12:55:55.305+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","FR","France","58399253","vincesap","58399253","iNaturalist",NA,NA,NA,"Observations","2860017410","https://www.inaturalist.org/observations/58399253","vincesap",230,"https://www.inaturalist.org/observations/58399253","vincesap","vincesap","2020/08/20 9:52 AM CEST","iNaturalist research-grade observations","73400 Ugine, France","93434","https://www.inaturalist.org/observations/58399253","© vincesap some rights reserved","07:52:00Z",NA,"127843149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1f2c0cbe-40df-43f6-ba07-e76133e78c31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","Aeshna juncea",11.580541,46.403481,"cdround,gass84","gbif","2862552950","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:58:45.643+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-09-06T21:11:33",NA,NA,"Trentino-Alto Adige",2020,9,3,2020-09-03,"2020-09-09T11:05:28.000+0000","2020-09-27T12:58:45.643+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","IT","Italy","58767605","bianca_t","58767605","iNaturalist",NA,NA,NA,"Observations","2862552950","https://www.inaturalist.org/observations/58767605","bianca_t",9,"https://www.inaturalist.org/observations/58767605","bianca_t","bianca_t","2020/09/03 3:38 PM CEST","iNaturalist research-grade observations","Südtirol, Italien","93434","https://www.inaturalist.org/observations/58767605","© bianca_t some rights reserved","13:38:00Z",NA,"128584190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1f2c0cbe-40df-43f6-ba07-e76133e78c31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","Aeshna juncea",10.819109,46.267108,"cdround,gass84","gbif","2864628652","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:43:16.907+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED",NA,NA,NA,"Trentino-Alto Adige",2020,9,8,2020-09-08,"2020-09-16T08:25:00.000+0000","2020-09-27T12:43:16.907+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","IT","Italy","59353021","betulla","59353021","iNaturalist",NA,NA,NA,"Observations","2864628652","https://www.inaturalist.org/observations/59353021","C. and N. Percsy",526,"https://www.inaturalist.org/observations/59353021","betulla","betulla","2020-09-08 4:01:44 PM GMT+02:00","iNaturalist research-grade observations","Lago Delle Malghette","93434","https://www.inaturalist.org/observations/59353021","© betulla some rights reserved","14:01:44Z","Torbiera a 1900 MT di quota, Parco Adamello Brenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1f2c0cbe-40df-43f6-ba07-e76133e78c31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"765","Aeshna juncea",8.312968,53.190117,"cdround,gass84","gbif","2270246708","Aeshna juncea Linnaeus, 1758","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","bb646dff-a905-4403-a49b-6d378c2cf0d9","36cae45c-1983-48be-9cf9-0672c4a60612","DE","BIOCASE","2020-08-27T00:15:12.080+0000","2020-09-02T07:22:58.605+0000",138,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED",NA,NA,NA,NA,2019,6,17,2019-06-17,NA,"2020-09-02T07:22:58.605+0000","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","DE","Germany",NA,"-1940923786","-968130743","naturgucker",NA,"NSG Gellener Torfmöörte",NA,"naturgucker","2270246708",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1f2c0cbe-40df-43f6-ba07-e76133e78c31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"817","Aeshna juncea",10.198604,46.036696,"cdround,gass84","gbif","2283190467","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:38:54.994+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2019-07-06T18:07:43",NA,NA,"Lombardia",2019,7,6,2019-07-06,"2019-07-07T14:40:33.000+0000","2020-09-27T12:38:54.994+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","IT","Italy","28307178","Stefano","28307178","iNaturalist",NA,NA,NA,"Observations","2283190467","https://www.inaturalist.org/observations/28307178","Stefano",4,"https://www.inaturalist.org/observations/28307178","Stefano","stefano_aguzzi","2019/07/06 11:17 AM CEST","iNaturalist research-grade observations","Provincia di Bergamo, Italia","93434","https://www.inaturalist.org/observations/28307178","© Stefano some rights reserved","09:17:00Z",NA,"61602116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1f2c0cbe-40df-43f6-ba07-e76133e78c31",NA,NA,NA,NA,NA,NA,NA,NA,NA
