"","name","longitude","latitude","issues","prov","key","scientificName","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","individualCount","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","license","geodeticDatum","class","countryCode","country","identifier","recordedBy","catalogNumber","institutionCode","county","locality","fieldNumber","collectionCode","gbifID","occurrenceID","identifiedBy","coordinateUncertaintyInMeters","references","rightsHolder","http://unknown.org/nick","verbatimEventDate","datasetName","verbatimLocality","taxonID","http://unknown.org/occurrenceDetails","rights","eventTime","occurrenceRemarks","identificationID","informationWithheld","endDayOfYear","municipality","identificationVerificationStatus","language","type","vernacularName","taxonConceptID","startDayOfYear","datasetID","accessRights","higherClassification","sex","behavior","habitat","associatedReferences","locationID","fieldNotes","dynamicProperties","footprintWKT","lifeStage","elevationAccuracy","eventID","originalNameUsage","nameAccordingTo","samplingProtocol","dataGeneralizations"
"1","Aeshna juncea Linnaeus, 1758",8.579164,58.702662,"cdround,gass84,cdpi,osiic","gbif","2618345306","Aeshna juncea Linnaeus, 1758","2e4cc37b-302e-4f1b-bbbb-1f674ff90e14","b2c1126d-e3b4-4619-9f94-b236dcc0a947","c4e83f8a-f24c-4573-a197-f085ca242917","NO","DWC_ARCHIVE","2020-09-30T07:33:20.922+0000","2020-09-30T07:46:38.746+0000",1545,"HUMAN_OBSERVATION",2,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-05-12T00:00:00",145,"EUROPE","Aust-Agder",2020,5,8,2020-05-08,"2020-05-18T00:00:00.000+0000","2020-09-30T07:46:38.746+0000","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","NO","Norway","659873","Olsen, K.M.","659873","BioFokus","Åmli","Simonstad – Dam W Nidarå trelast","659873","BioFokus","2618345306","659873","Olsen, K.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Aeshna juncea Linnaeus, 1758",1.913113,41.550932,"cdround,gass84","gbif","2620049238","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:39:26.398+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-05-02T15:26:25",NA,NA,"Cataluña",2020,5,2,2020-05-02,"2020-05-03T08:54:44.000+0000","2020-09-27T12:39:26.398+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","ES","Spain","44595690","cacacu","44595690","iNaturalist",NA,NA,NA,"Observations","2620049238","https://www.inaturalist.org/observations/44595690","cacacu",38,"https://www.inaturalist.org/observations/44595690","cacacu","cacacu","Sat May 02 2020 17:24:51 GMT+0200 (GMT+2)","iNaturalist research-grade observations","Urbanización Rives Blaves, Olesa de Montserrat, Cataluña, ES","93434","https://www.inaturalist.org/observations/44595690","© cacacu some rights reserved","15:24:51Z","Larva Aeshna juncea","100194201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Aeshna juncea Linnaeus, 1758",69.032719,60.995287,"gass84","gbif","2802651993","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:40:06.008+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-06-24T09:35:06",NA,NA,"Khanty-Mansiy",2020,6,23,2020-06-23,"2020-06-24T09:35:15.000+0000","2020-09-27T12:40:06.008+0000","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","RU","Russian Federation","50694706","Tatiana","50694706","iNaturalist",NA,NA,NA,"Observations","2802651993","https://www.inaturalist.org/observations/50694706","<U+0412><U+043B><U+0430><U+0434><U+0438><U+043C><U+0438><U+0440> <U+041E><U+043D><U+0438><U+0448><U+043A><U+043E>",2040,"https://www.inaturalist.org/observations/50694706","Tatiana","naturalist10224","2020-06-23","iNaturalist research-grade observations","Khanty-Mansiyskiy rayon, RU-KM, RU","93434","https://www.inaturalist.org/observations/50694706","© Tatiana some rights reserved",NA,NA,"112515111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Aeshna juncea Linnaeus, 1758",83.051243,54.864562,"cdround,gass84","gbif","2802721915","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T13:01:40.906+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-06-16T01:54:51",NA,NA,"Novosibirsk",2020,6,12,2020-06-12,"2020-06-16T02:19:27.000+0000","2020-09-27T13:01:40.906+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","RU","Russian Federation","49794318","Oleg Kosterin","49794318","iNaturalist",NA,NA,NA,"Observations","2802721915","https://www.inaturalist.org/observations/49794318","Oleg Kosterin",NA,"https://www.inaturalist.org/observations/49794318","Oleg Kosterin","oleg_kosterin","2020/06/12 5:59 PM +0700","iNaturalist research-grade observations","Russia, Novosibirsk, a dry glade by a forest pond between Pravye Chomy and Nizhnyaya El'tsovka estates","93434","https://www.inaturalist.org/observations/49794318","© Oleg Kosterin some rights reserved","10:59:00Z","male 1","110622912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Aeshna juncea Linnaeus, 1758",69.032362,60.996032,"cdround,gass84","gbif","2802775048","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:57:42.270+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-06-24T09:37:51",NA,NA,"Khanty-Mansiy",2020,6,23,2020-06-23,"2020-06-24T09:38:01.000+0000","2020-09-27T12:57:42.270+0000","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","RU","Russian Federation","50696711","Tatiana","50696711","iNaturalist",NA,NA,NA,"Observations","2802775048","https://www.inaturalist.org/observations/50696711","<U+0412><U+043B><U+0430><U+0434><U+0438><U+043C><U+0438><U+0440> <U+041E><U+043D><U+0438><U+0448><U+043A><U+043E>",126,"https://www.inaturalist.org/observations/50696711","Tatiana","naturalist10224","2020/06/23 12:28 PM HST","iNaturalist research-grade observations","<U+0425><U+0430><U+043D><U+0442><U+044B>-<U+041C><U+0430><U+043D><U+0441><U+0438><U+0439><U+0441><U+043A>, <U+0425><U+0430><U+043D><U+0442><U+044B>-<U+041C><U+0430><U+043D><U+0441><U+0438><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0430><U+0432><U+0442><U+043E><U+043D><U+043E><U+043C><U+043D><U+044B><U+0439> <U+043E><U+043A><U+0440><U+0443><U+0433>, <U+0420><U+043E><U+0441><U+0441><U+0438><U+044F>","93434","https://www.inaturalist.org/observations/50696711","© Tatiana some rights reserved","22:28:00Z",NA,"112515369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Aeshna juncea Linnaeus, 1758",69.032362,60.996032,"cdround,gass84","gbif","2802858082","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:40:05.883+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-06-24T08:56:00",NA,NA,"Khanty-Mansiy",2020,6,23,2020-06-23,"2020-06-24T08:56:07.000+0000","2020-09-27T12:40:05.883+0000","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","RU","Russian Federation","50696174","Tatiana","50696174","iNaturalist",NA,NA,NA,"Observations","2802858082","https://www.inaturalist.org/observations/50696174","<U+0412><U+043B><U+0430><U+0434><U+0438><U+043C><U+0438><U+0440> <U+041E><U+043D><U+0438><U+0448><U+043A><U+043E>",126,"https://www.inaturalist.org/observations/50696174","Tatiana","naturalist10224","2020/06/23 12:13 PM HST","iNaturalist research-grade observations","<U+0425><U+0430><U+043D><U+0442><U+044B>-<U+041C><U+0430><U+043D><U+0441><U+0438><U+0439><U+0441><U+043A>, <U+0425><U+0430><U+043D><U+0442><U+044B>-<U+041C><U+0430><U+043D><U+0441><U+0438><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0430><U+0432><U+0442><U+043E><U+043D><U+043E><U+043C><U+043D><U+044B><U+0439> <U+043E><U+043A><U+0440><U+0443><U+0433>, <U+0420><U+043E><U+0441><U+0441><U+0438><U+044F>","93434","https://www.inaturalist.org/observations/50696174","© Tatiana some rights reserved","22:13:00Z",NA,"112511630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Aeshna juncea Linnaeus, 1758",73.687226,60.878477,"cdround,gass84","gbif","2802971691","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:40:16.478+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-06-22T18:21:34",NA,NA,"Khanty-Mansiy",2020,6,20,2020-06-20,"2020-06-23T11:32:32.000+0000","2020-09-27T12:40:16.478+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","RU","Russian Federation","50579243","<U+041D><U+0438><U+043A><U+043E><U+043B><U+0430><U+0439> <U+041D><U+0430><U+043A><U+043E><U+043D><U+0435><U+0447><U+043D><U+044B><U+0439>","50579243","iNaturalist",NA,NA,NA,"Observations","2802971691","https://www.inaturalist.org/observations/50579243","Artyom Matrokov",15,"https://www.inaturalist.org/observations/50579243","<U+041D><U+0438><U+043A><U+043E><U+043B><U+0430><U+0439> <U+041D><U+0430><U+043A><U+043E><U+043D><U+0435><U+0447><U+043D><U+044B><U+0439>","nikolai_nakonechnyi","2020/06/20 1:06 PM +0500","iNaturalist research-grade observations","<U+0421><U+0443><U+0440><U+0433><U+0443><U+0442><U+0441><U+043A><U+0438><U+0439> <U+0440>-<U+043D>, <U+0425><U+0430><U+043D><U+0442><U+044B>-<U+041C><U+0430><U+043D><U+0441><U+0438><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0430><U+0432><U+0442><U+043E><U+043D><U+043E><U+043C><U+043D><U+044B><U+0439> <U+043E><U+043A><U+0440><U+0443><U+0433>, <U+0420><U+043E><U+0441><U+0441><U+0438><U+044F>","93434","https://www.inaturalist.org/observations/50579243","© <U+041D><U+0438><U+043A><U+043E><U+043B><U+0430><U+0439> <U+041D><U+0430><U+043A><U+043E><U+043D><U+0435><U+0447><U+043D><U+044B><U+0439> some rights reserved","08:06:00Z",NA,"112148846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Aeshna juncea Linnaeus, 1758",-128.96335,60.09075,"gass84","gbif","2802992363","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:49:53.054+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-06-25T05:54:07",NA,NA,"Yukon",2020,6,24,2020-06-24,"2020-06-25T13:34:45.000+0000","2020-09-27T12:49:53.054+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","CA","Canada","50858185","camerondeckert","50858185","iNaturalist",NA,NA,NA,"Observations","2802992363","https://www.inaturalist.org/observations/50858185","camerondeckert",NA,"https://www.inaturalist.org/observations/50858185","camerondeckert","camerondeckert","2020/06/24 4:33 PM PDT","iNaturalist research-grade observations","Yukon, YT, Canada","93434","https://www.inaturalist.org/observations/50858185","© camerondeckert some rights reserved","23:33:00Z","Found dead on road.","112718074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Aeshna juncea Linnaeus, 1758",83.05111,54.864842,"cdround,gass84","gbif","2803017902","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:54:56.220+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-06-15T19:11:37",NA,NA,"Novosibirsk",2020,6,12,2020-06-12,"2020-06-16T02:18:59.000+0000","2020-09-27T12:54:56.220+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Insecta","RU","Russian Federation","49752674","Oleg Kosterin","49752674","iNaturalist",NA,NA,NA,"Observations","2803017902","https://www.inaturalist.org/observations/49752674","Oleg Kosterin",NA,"https://www.inaturalist.org/observations/49752674","Oleg Kosterin","oleg_kosterin","2020/06/12 6:17 PM +0700","iNaturalist research-grade observations","Russia, Novosibirsk, a dry glade by a forest pond between Pravye Chomy and Nizhnyaya El'tsovka estates","93434","https://www.inaturalist.org/observations/49752674","© Oleg Kosterin some rights reserved","11:17:00Z","male 2","110521044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Aeshna juncea Linnaeus, 1758",69.032362,60.996032,"cdround,gass84","gbif","2803023098","Aeshna juncea Linnaeus, 1758","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-09-27T11:06:32.992+0000","2020-09-27T12:40:05.391+0000",233,"HUMAN_OBSERVATION",NA,"PRESENT",1425221,1,54,216,789,4209,1425165,1425221,1425221,"Aeshna juncea Linnaeus, 1758","Animalia","Arthropoda","Odonata","Aeshnidae","Aeshna","Aeshna juncea","Aeshna","juncea","SPECIES","ACCEPTED","2020-06-24T09:37:14",NA,NA,"Khanty-Mansiy",2020,6,23,2020-06-23,"2020-06-24T09:37:22.000+0000","2020-09-27T12:40:05.391+0000","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Insecta","RU","Russian Federation","50696809","Tatiana","50696809","iNaturalist",NA,NA,NA,"Observations","2803023098","https://www.inaturalist.org/observations/50696809","<U+0412><U+043B><U+0430><U+0434><U+0438><U+043C><U+0438><U+0440> <U+041E><U+043D><U+0438><U+0448><U+043A><U+043E>",126,"https://www.inaturalist.org/observations/50696809","Tatiana","naturalist10224","2020/06/23 12:28 PM HST","iNaturalist research-grade observations","<U+0425><U+0430><U+043D><U+0442><U+044B>-<U+041C><U+0430><U+043D><U+0441><U+0438><U+0439><U+0441><U+043A>, <U+0425><U+0430><U+043D><U+0442><U+044B>-<U+041C><U+0430><U+043D><U+0441><U+0438><U+0439><U+0441><U+043A><U+0438><U+0439> <U+0430><U+0432><U+0442><U+043E><U+043D><U+043E><U+043C><U+043D><U+044B><U+0439> <U+043E><U+043A><U+0440><U+0443><U+0433>, <U+0420><U+043E><U+0441><U+0441><U+0438><U+044F>","93434","https://www.inaturalist.org/observations/50696809","© Tatiana some rights reserved","22:28:00Z",NA,"112515324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
