"","name","longitude","latitude","scientificName","genus","species","dateIdentified","elevation","stateProvince","year","month","day","eventDate","countryCode","eventTime","endDayOfYear"
"1","Aeshna cyanea",15.49028,47.049368,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-01-26T13:02:25",NA,"Steiermark",2020,1,26,2020-01-26,"AT","13:01:05Z",NA
"4","Aeshna cyanea",15.531626,47.132905,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-05-25T20:44:14",NA,"Steiermark",2020,5,20,2020-05-20,"AT","12:37:03Z",NA
"5","Aeshna cyanea",2.586629,43.132619,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-06-07T19:50:03",NA,"Languedoc-Roussillon",2020,6,7,2020-06-07,"FR","14:28:00Z",NA
"6","Aeshna cyanea",5.521955,49.767954,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-06-05T17:07:58",NA,"Wallonie",2020,6,5,2020-06-05,"BE","17:07:06Z",NA
"9","Aeshna cyanea",4.858866,45.885206,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-06-09T15:46:03",NA,"Rhône-Alpes",2020,6,8,2020-06-08,"FR","17:22:04Z",NA
"11","Aeshna cyanea",1.99794,48.472346,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-06-06T13:26:41",NA,"Île-de-France",2020,6,6,2020-06-06,"FR","10:42:00Z",NA
"13","Aeshna cyanea",-0.342561,46.118379,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-06-10T18:04:14",NA,"Poitou-Charentes",2020,6,10,2020-06-10,"FR","10:33:00Z",NA
"20","Aeshna cyanea",12.749053,47.758892,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-06-17T16:15:15",NA,"Bayern",2020,6,17,2020-06-17,"DE","16:09:00Z",NA
"56","Aeshna cyanea",5.538352,51.429457,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-06-30T12:11:10",NA,"Noord-Brabant",2020,6,29,2020-06-29,"NL","15:55:41Z",NA
"57","Aeshna cyanea",9.482136,54.816311,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-07-11T13:05:17",NA,"Schleswig-Holstein",2020,6,27,2020-06-27,"DE","10:59:42Z",NA
"65","Aeshna cyanea",11.136487,48.453437,"Aeshna cyanea Müller, 1764","Aeshna","Aeshna cyanea","2020-06-28T09:15:22",NA,"Bayern",2020,6,28,2020-06-28,"DE","09:13:00Z",NA
