"","species","scientificName","longitude","latitude","elevation","countryCode","stateProvince","day","month","year","eventDate","endDayOfYear"
"1","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.49028,47.049368,NA,"AT","Steiermark",26,1,2020,2020-01-26,NA
"4","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.531626,47.132905,NA,"AT","Steiermark",20,5,2020,2020-05-20,NA
"5","Aeshna cyanea","Aeshna cyanea Müller, 1764",2.586629,43.132619,NA,"FR","Languedoc-Roussillon",7,6,2020,2020-06-07,NA
"6","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.521955,49.767954,NA,"BE","Wallonie",5,6,2020,2020-06-05,NA
"9","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.858866,45.885206,NA,"FR","Rhône-Alpes",8,6,2020,2020-06-08,NA
"11","Aeshna cyanea","Aeshna cyanea Müller, 1764",1.99794,48.472346,NA,"FR","Île-de-France",6,6,2020,2020-06-06,NA
"13","Aeshna cyanea","Aeshna cyanea Müller, 1764",-0.342561,46.118379,NA,"FR","Poitou-Charentes",10,6,2020,2020-06-10,NA
"20","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.749053,47.758892,NA,"DE","Bayern",17,6,2020,2020-06-17,NA
"56","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.538352,51.429457,NA,"NL","Noord-Brabant",29,6,2020,2020-06-29,NA
"57","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.482136,54.816311,NA,"DE","Schleswig-Holstein",27,6,2020,2020-06-27,NA
"65","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.136487,48.453437,NA,"DE","Bayern",28,6,2020,2020-06-28,NA
"93","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.438772,51.461832,NA,"BE","Vlaanderen",7,7,2020,2020-07-07,NA
"94","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.054093,49.964903,NA,"DE","Rheinland-Pfalz",7,7,2020,2020-07-07,NA
"106","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.691995,52.703485,NA,"NL","Noord-Holland",1,7,2020,2020-07-01,NA
"120","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.647027,45.772817,NA,"IT","Lombardia",2,7,2020,2020-07-02,NA
"121","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.661463,45.761519,NA,"IT","Lombardia",2,7,2020,2020-07-02,NA
"169","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.015738,53.675258,NA,"DE","Hamburg",13,7,2020,2020-07-13,NA
"173","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.981694,51.997414,NA,"NL","Gelderland",14,7,2020,2020-07-14,NA
"175","Aeshna cyanea","Aeshna cyanea Müller, 1764",14.593234,48.419792,NA,"AT","Oberösterreich",11,7,2020,2020-07-11,NA
"184","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.676839,45.657595,NA,"IT","Lombardia",16,7,2020,2020-07-16,NA
"195","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.562482,49.003659,NA,"DE","Baden-Württemberg",12,7,2020,2020-07-12,NA
"198","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.774994,45.744052,NA,"FR","Rhône-Alpes",12,7,2020,2020-07-12,NA
"202","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.325942,46.398507,NA,"IT","Trentino-Alto Adige",14,7,2020,2020-07-14,NA
"210","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.541155,46.136658,NA,"IT","Piemonte",12,7,2020,2020-07-12,NA
"213","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.686937,50.788003,NA,"BE","Wallonie",19,7,2020,2020-07-19,NA
"216","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.140714,49.523484,NA,"DE","Rheinland-Pfalz",19,7,2020,2020-07-19,NA
"217","Aeshna cyanea","Aeshna cyanea Müller, 1764",14.216513,47.411741,NA,"AT","Steiermark",20,7,2020,2020-07-20,NA
"220","Aeshna cyanea","Aeshna cyanea Müller, 1764",3.694898,49.261015,NA,"FR","Champagne-Ardenne",18,7,2020,2020-07-18,NA
"221","Aeshna cyanea","Aeshna cyanea Müller, 1764",6.90484,53.267845,NA,"NL","Groningen",18,7,2020,2020-07-18,NA
"225","Aeshna cyanea","Aeshna cyanea Müller, 1764",3.381725,51.35141,NA,"NL","Zeeland",20,7,2020,2020-07-20,NA
"229","Aeshna cyanea","Aeshna cyanea Müller, 1764",14.216396,47.4117,NA,"AT","Steiermark",20,7,2020,2020-07-20,NA
"231","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.636572,45.773589,NA,"IT","Lombardia",21,7,2020,2020-07-21,NA
"248","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.136703,51.582138,NA,"NL","Noord-Brabant",20,7,2020,2020-07-20,NA
"250","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.637575,45.773941,NA,"IT","Lombardia",21,7,2020,2020-07-21,NA
"253","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.655894,45.770409,NA,"IT","Lombardia",21,7,2020,2020-07-21,NA
"265","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.337667,45.788912,NA,"IT","Lombardia",20,7,2020,2020-07-20,NA
"266","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.181881,46.198786,NA,"IT","Trentino-Alto Adige",23,7,2020,2020-07-23,NA
"269","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.465366,52.20053,NA,"DE","Niedersachsen",29,7,2020,2020-07-29,NA
"276","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.952905,45.545992,NA,"IT","Piemonte",22,7,2020,2020-07-22,NA
"279","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.557792,48.097756,NA,"DE","Bayern",31,7,2020,2020-07-31,NA
"288","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.629531,45.778214,NA,"IT","Lombardia",29,7,2020,2020-07-29,NA
"291","Aeshna cyanea","Aeshna cyanea Müller, 1764",6.04414,49.997046,NA,"LU","Diekirch",27,7,2020,2020-07-27,NA
"293","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.237213,46.64535,NA,"IT","Trentino-Alto Adige",27,7,2020,2020-07-27,NA
"296","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.730931,45.849601,NA,"IT","Lombardia",30,7,2020,2020-07-30,NA
"299","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.114797,50.683106,NA,"DE","Nordrhein-Westfalen",24,7,2020,2020-07-24,NA
"300","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.533057,50.20586,NA,"DE","Hessen",26,7,2020,2020-07-26,NA
"311","Aeshna cyanea","Aeshna cyanea Müller, 1764",2.81214,43.09854,NA,"FR","Languedoc-Roussillon",28,7,2020,2020-07-28,NA
"318","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.915754,50.760349,NA,"DE","Sachsen",29,7,2020,2020-07-29,NA
"322","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.74901,47.758879,NA,"DE","Bayern",27,7,2020,2020-07-27,NA
"323","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.543307,50.166109,NA,"DE","Hessen",30,7,2020,2020-07-30,NA
