"","species","scientificName","longitude","latitude","elevation","countryCode","stateProvince","day","month","year","eventDate","endDayOfYear"
"1","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.49028,47.049368,NA,"AT","Steiermark",26,1,2020,2020-01-26,NA
"4","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.531626,47.132905,NA,"AT","Steiermark",20,5,2020,2020-05-20,NA
"5","Aeshna cyanea","Aeshna cyanea Müller, 1764",2.586629,43.132619,NA,"FR","Languedoc-Roussillon",7,6,2020,2020-06-07,NA
"9","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.858866,45.885206,NA,"FR","Rhône-Alpes",8,6,2020,2020-06-08,NA
"13","Aeshna cyanea","Aeshna cyanea Müller, 1764",-0.342561,46.118379,NA,"FR","Poitou-Charentes",10,6,2020,2020-06-10,NA
"20","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.749053,47.758892,NA,"DE","Bayern",17,6,2020,2020-06-17,NA
"120","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.647027,45.772817,NA,"IT","Lombardia",2,7,2020,2020-07-02,NA
"121","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.661463,45.761519,NA,"IT","Lombardia",2,7,2020,2020-07-02,NA
"184","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.676839,45.657595,NA,"IT","Lombardia",16,7,2020,2020-07-16,NA
"198","Aeshna cyanea","Aeshna cyanea Müller, 1764",4.774994,45.744052,NA,"FR","Rhône-Alpes",12,7,2020,2020-07-12,NA
"202","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.325942,46.398507,NA,"IT","Trentino-Alto Adige",14,7,2020,2020-07-14,NA
"210","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.541155,46.136658,NA,"IT","Piemonte",12,7,2020,2020-07-12,NA
"217","Aeshna cyanea","Aeshna cyanea Müller, 1764",14.216513,47.411741,NA,"AT","Steiermark",20,7,2020,2020-07-20,NA
"229","Aeshna cyanea","Aeshna cyanea Müller, 1764",14.216396,47.4117,NA,"AT","Steiermark",20,7,2020,2020-07-20,NA
"231","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.636572,45.773589,NA,"IT","Lombardia",21,7,2020,2020-07-21,NA
"250","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.637575,45.773941,NA,"IT","Lombardia",21,7,2020,2020-07-21,NA
"253","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.655894,45.770409,NA,"IT","Lombardia",21,7,2020,2020-07-21,NA
"265","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.337667,45.788912,NA,"IT","Lombardia",20,7,2020,2020-07-20,NA
"266","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.181881,46.198786,NA,"IT","Trentino-Alto Adige",23,7,2020,2020-07-23,NA
"276","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.952905,45.545992,NA,"IT","Piemonte",22,7,2020,2020-07-22,NA
"288","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.629531,45.778214,NA,"IT","Lombardia",29,7,2020,2020-07-29,NA
"293","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.237213,46.64535,NA,"IT","Trentino-Alto Adige",27,7,2020,2020-07-27,NA
"296","Aeshna cyanea","Aeshna cyanea Müller, 1764",8.730931,45.849601,NA,"IT","Lombardia",30,7,2020,2020-07-30,NA
"311","Aeshna cyanea","Aeshna cyanea Müller, 1764",2.81214,43.09854,NA,"FR","Languedoc-Roussillon",28,7,2020,2020-07-28,NA
"322","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.74901,47.758879,NA,"DE","Bayern",27,7,2020,2020-07-27,NA
"325","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.632604,45.772828,NA,"IT","Lombardia",29,7,2020,2020-07-29,NA
"441","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.019156,47.757202,NA,"FR","Alsace",19,7,2020,2020-07-19,NA
"914","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.690563,45.859363,NA,"IT","Trentino-Alto Adige",9,8,2020,2020-08-09,NA
"917","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.716688,44.227206,NA,"IT","Emilia-Romagna",9,8,2020,2020-08-09,NA
"926","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.637665,45.773939,NA,"IT","Lombardia",6,8,2020,2020-08-06,NA
"960","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.404198,47.642332,NA,"AT","Tirol",18,8,2020,2020-08-18,NA
"972","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.749001,47.758898,NA,"DE","Bayern",19,8,2020,2020-08-19,NA
"1003","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.689263,45.857712,NA,"IT","Trentino-Alto Adige",8,8,2020,2020-08-08,NA
"1008","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.632932,46.990442,NA,"IT","Trentino-Alto Adige",8,8,2020,2020-08-08,NA
"1034","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.79682,46.620552,NA,"IT","Trentino-Alto Adige",7,8,2020,2020-08-07,NA
"1050","Aeshna cyanea","Aeshna cyanea Müller, 1764",14.077356,47.513583,NA,"AT","Steiermark",19,8,2020,2020-08-19,NA
"1077","Aeshna cyanea","Aeshna cyanea Müller, 1764",-1.698,47.893295,NA,"FR","Bretagne",9,8,2020,2020-08-09,NA
"1186","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.14557,46.072594,NA,"IT","Trentino-Alto Adige",26,8,2020,2020-08-26,NA
"1192","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.993283,47.601945,NA,"AT","Steiermark",23,8,2020,2020-08-23,NA
"1215","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.882427,46.92009,NA,"AT","Steiermark",27,8,2020,2020-08-27,NA
"1225","Aeshna cyanea","Aeshna cyanea Müller, 1764",11.112227,47.948536,NA,"DE","Bayern",27,8,2020,2020-08-27,NA
"1235","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.240548,46.904162,NA,"AT","Steiermark",23,8,2020,2020-08-23,NA
"1258","Aeshna cyanea","Aeshna cyanea Müller, 1764",13.38649,47.797626,NA,"AT","Oberösterreich",25,8,2020,2020-08-25,NA
"1260","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.697286,45.731061,NA,"IT","Lombardia",9,8,2020,2020-08-09,NA
"1316","Aeshna cyanea","Aeshna cyanea Müller, 1764",15.773341,47.012314,NA,"AT","Steiermark",30,8,2020,2020-08-30,NA
"1317","Aeshna cyanea","Aeshna cyanea Müller, 1764",7.811566,47.963376,NA,"DE","Baden-Württemberg",29,8,2020,2020-08-29,NA
"1325","Aeshna cyanea","Aeshna cyanea Müller, 1764",10.556681,45.63498,NA,"IT","Lombardia",31,8,2020,2020-08-31,NA
"1353","Aeshna cyanea","Aeshna cyanea Müller, 1764",5.998245,47.297413,NA,"FR","Franche-Comté",7,8,2020,2020-08-07,NA
"1444","Aeshna cyanea","Aeshna cyanea Müller, 1764",9.656852,45.769875,NA,"IT","Lombardia",1,9,2020,2020-09-01,NA
"1454","Aeshna cyanea","Aeshna cyanea Müller, 1764",12.131751,46.383534,NA,"IT","Veneto",1,9,2020,2020-09-01,NA
